文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk9,Fig. 7,Fig. 7 shows the values of $n$ measured in various alloys during corrosion testing in $3 6 0 ^ { \circ } \mathrm { C }$ water and $5 0 0 ^ { \circ } \mathrm { C }$ supercritical water [25].,various alloys,,corrosion testing,corrosion test,,,,,,,,,,,,,,,,,,500.0,supercritical water,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk10,text,Hydrogen is a very mobile atomic species in zirconium. It has a migration energy of 0.47 eV,zirconium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,eV
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk10,text,"For typical linear heat rates, a difference of 10-15 K is established between the inner and outer cladding surfaces",,cladding tube,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10–15,K,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk10,text,the presence of metallic nickel to a larger extent in the oxide layer in Zircaloy-2 could be responsible for its higher hydrogen pickup fraction,Zircaloy-2,corroded,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,"Kammenzind et al. [52] experimentally determined $\alpha ^ { 2 }$ , and this value was recently re-determined in an in situ examination of hydride precipitation with synchrotron radiation diffraction to be $4 . 5 \times 1 0 ^ { - 4 } \ : s ^ { - 1 }$ in the temperature range studied [58].",,,,hydride precipitation examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045,s^-1
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,MacDonald et al. [61] used the special power excursion reactor test (SPERT) and the power burst facility (PBF) test to examine fuel irradiated to up to $3 0 \mathrm { \ G W d / t }$ and established limits for energy deposition that would cause cladding failure $( 1 8 0 ~ \mathrm { c a l / g ) }$ and cladding failure with fuel release $( 2 8 0 \mathrm { c a l / g } )$ .,,irradiated,,power excursion reactor test,,,,,,,,,,,,,,,,,,,,,,,30 GWd/t,,,,,,,,,,,,,180.0,cal/g,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,"In 1994, the CABRI-Rep-Na1 test showed brittle failure of cladding that had been irradiated to five cycles (67 GWd/t) and that showed a thick (greater than $8 0 ~ { \mu \mathrm { m } } ,$ oxide layer with high hydrogen content ( ${ \sim } 7 0 0$ wt ppm) and with some spalled oxide.",,irradiated,,CABRI test,,,,,,,,,,,,,,,,,,,,,,,67 GWd/t,,,,,,,,,,,,,35.0,cal/g,,,700,ppm,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,The results of the tests showed that both the hydrogen content and biaxial stress state reduced cladding ductility relative to the uniaxial testing of unhydrided cladding.,,hydrided,,ring tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,"The test was used to determine the ductility of hydrided cladding tubes under various hydrogen levels, at room temperature, and at high temperatures.",,hydrided,,ring tensile test,,,,,,,,,,,,,,,,,,room,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk11,text,"The test was used to determine the ductility of hydrided cladding tubes under various hydrogen levels, at room temperature, and at high temperatures.",,hydrided,,ring tensile test,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk12,Fig. 16,"Fig. 16 shows the variation of failure strain with rim thickness, indicating that the cladding has very little ductility in the presence of a $1 0 0 \mathrm { - } \mu \mathrm { m }$ -thick hydride layer.",Zircaloy-4,hydrided,,plane strain deformation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 649-659,Effect of Proton and Ne Irradiation on the Microstructure of Zircaloy 4,Zircaloy 4,,proton and Ne irradiation,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 387-407,Behaviour of Structural Materials for Fuel and Control Elements in Light Water Cooled Power Reactors,,structural materials,,corrosion,,,,,,,,,,,,,,,,,,,light water,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 202-212,Microstructure and Corrosion Studies for Optimized PWR and BWR Zircaloy-Cladding,Zircaloy,cladding,,corrosion,,,,,,,,,,,,,,,,,,,PWR/BWR water,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 687-705,Oxidation Intermetallic Precipitates in Zircaloy-4: Impact of Irradiation,Zircaloy-4,intermetallic precipitates,"oxidation, irradiation",oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 318-332,Precipitate Evolution in the Zircaloy-4 Oxide Layer,Zircaloy-4,oxide layer,oxidation,oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 311-343,Corrosion of Zirconium Alloys Used for Nuclear Fuel Cladding,Zirconium alloys,fuel cladding,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,p. 486,Microstructural Characterization of Oxides Formed on Model Zr Alloys Using Synchrotron Radiation,Zr alloys,oxides,oxidation,characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 318-330,In Situ XRD Analysis of the Oxide Layers Formed by Oxidation at 743 K on Zircaloy-4 and Zr-1NbO,"Zircaloy-4, Zr-1NbO",oxide layers,oxidation,oxidation,"{'value': 99.0, 'unit': 'wt%'}",,"{'value': 1.0, 'unit': 'wt%'}",,,,,,,,"{'value': None, 'unit': 'wt%'}",,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 164-174,A Model of Texture Formation in ZrO₂ Films,,films,,characterization,"{'value': 73.03, 'unit': 'wt%'}",,,,,,,,,,"{'value': 26.97, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 59-77,Synchrotron Radiation Study of Second-Phase Particles and Alloying Elements in Zirconium Alloys,Zirconium alloys,second-phase particles,,characterization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 6-22,Structure of Zirconium Alloy Oxides Formed in Pure Water Studied with Synchrotron Radiation and Optical Microscopy: Relation to Corrosion Rate,Zirconium alloys,oxides,corrosion in pure water,corrosion,,,,,,,,,,,,,,,,,,,pure water,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk14,pp. 205-232,Microstructure and Growth Mechanism of Oxide Layers Formed on Zr Alloys Studied with Micro-Beam Synchrotron Radiation,Zr alloys,oxide layers,oxidation,oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk15,1-33,Effect of Alloying Elements on Hydrogen Pickup in Zirconium Alloys,Zirconium Alloys,,,Hydrogen Pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk15,524-554,Microbeam X-Ray Absorption Near-Edge Spectroscopy of Alloying Elements in the Oxide Layers of Irradiated Zircaloy-2,Zircaloy-2,Irradiated,,X-Ray Absorption Near-Edge Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk15,73-84,The Coupled Current Charge Compensation Model for Zirconium Alloy Fuel Cladding Oxidation: I. Parabolic Oxidation of Zirconium Alloys,Zirconium Alloys,Fuel Cladding,Oxidation,Oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk15,250-267,The Isse of Stress State during Mechanical Tests to Assess Cladding Performance during a Reactivity-Initiated Accident (RIA),,Cladding,,Mechanical Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk16,p.52,"Zirconium-based alloys satisfy these requirements at relatively high levels, and most powerproducing light-water reactor fuels are sheathed with alloys, such as Zircaloy-2, Zircaloy-4, ZIRLOTM, M5*, Mitsubishi-developed alloy (MDA), etc.",Zircaloy-2,cladding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk16,p.52,"Especially, degraded mechanical properties of cladding due to increased corrosion and the resulting hydrogen absorption becomes a key in-reactor fuel behavior during an accident.",,cladding,,,,,,,,,,,,,,,,,,,,,reactor environment,,,,,,,,,,,,,,,,,,,,,degraded,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk17,text,hydride-assisted pellet-cladding mechanical interaction (PCMI) failure at a high-burnup level,,high-burnup fuel cladding,reactivity-initiated accident,pulse-irradiation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk17,text,cladding material remains at high temperatures for up to approximately 15 s until rewetting takes place,,cladding,reactivity-initiated accident,pulse-irradiation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,s,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk17,text,"PCMI failure occurs only in a very early stage of the transient, and the cladding temperature remains low at the time of failure",,cladding,reactivity-initiated accident,pulse-irradiation test,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk17,text,cladding balloons due to the decreased yield stress of the cladding at the higher temperatures,,cladding,reactivity-initiated accident,pulse-irradiation test,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk18,text,The Nuclear Safety Research Reactor (NSRR) is a modified TRIGA Annular Core Pulse Reactor. Its main salient features are its large pulsing power capability that allows the $1 0 ~ \%$ enriched fuel to be heated by nuclear fission to temperatures above the melting point of $\mathrm { U O } _ { 2 }$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,GW,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk18,text,The NSRR core consists of 149 driver uranium-zirconium hydride fuel/moderator elements,uranium-zirconium hydride,fuel/moderator elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk19,text,The rod was sampled from the second highest span and had a burnup of $5 8 \mathrm { \ M W d / k g U }$,ZIRLO,irradiated,,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,J/g,,,0.008,s,30.0,°C,,,58.0,MWd/kgU,28.0,mm,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk19,text,The largest pulse available in the NSRR with a width of $4 . 4 ~ \mathrm { m s }$ was used in this experiment,,,,pulse-irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,ms,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk19,text,The fuel failure at low cladding temperatures is a common result among the NSRR experiments that resulted in PCMI failure,,,,pulse-irradiation,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk20,text,The thick hydride rim is observed only in stress-relieved annealed (SRA) cladding irradiated in PWRs,,stress-relieved annealed (SRA),irradiated,,,,,,,,,,,,,,,,,,,,PWR,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk20,text,the hydride-assisted PCMI failure also occurs in rods with recrystallization annealed (RXA) cladding,,recrystallization annealed (RXA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk20,text,Fuel enthalpy at failure depends on the orientation of hydrides as well as on the amount of hydride precipitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,the crack tip observed near the fracture in the high-temperature test became round,,,,fracture test,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,the crack tip is sharp in room-temperature tests,,,,fracture test,,,,,,,,,,,,,,,,,,room,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,"Fuel enthalpies at failure in the two MOX tests, BZ-1 and BZ-2 (Table 2) [14], are consistent with a tendency derived from several tests on $\mathrm { U O } _ { 2 }$ fuels and indicate that no MOX effects appear due to the PCMI failure",MOX,,,PCMI failure test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,J/g,,,,,,,73.0,μm,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,Although the burnup of the rods tested in the ALPS program (Table 2) was 6777 MWd/kgU,,irradiated,,ALPS program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6777.0,MWd/kgU,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,"the higher failure eergy of the high-burnup fuel rods tested in the ALPS program reflects the better performance of the new cladding materials in terms of corrosion, the thinner oxides, and accordingly lower hydrogen content generated during irradiation in the PWR",,high-burnup,,ALPS program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk21,text,a series of experiments on unirradiated fuels with cladding artificially prehydrided were conducted,,unirradiated,artificially prehydrided,separate-effect tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,gage section is $3 { - } 4 ~ \mathrm { m m }$ in length and $2 \mathrm { m m }$ in width,,,ring tensile test,ring tensile test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,mm,800.0,°C,,,,,1200.0,°C,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,"isothermal oxidation tests were performed with specimens prepared from high-burnup fuel rods with M5, ZIRLO, and Zircaloy-2/LK3 fuel cladding",M5,irradiated,high-burnup,isothermal oxidation test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,"oxidation rate of the unirradiated Zircaloy-4 cladding is equivalent to that of the unirradiated ZIRLO cladding for temperatures greater than $1 { , } 0 5 0 ^ { \circ } \mathrm { C }$",Zircaloy-4,unirradiated,,oxidation test,,,,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,"microphotographs of the irradiated ZIRLO specimens after the oxidation tests at 1,050 and $1 { , } 2 0 0 ^ { \circ } \mathrm { C }$ for $ 6 0 0 s$",ZIRLO,irradiated,,oxidation test,,,,,,,,,,,,,,,,,,1050.0,,,,,,0.1667,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,"microphotographs of the irradiated ZIRLO specimens after the oxidation tests at 1,050 and $1 { , } 2 0 0 ^ { \circ } \mathrm { C }$ for $ 6 0 0 s$",ZIRLO,irradiated,,oxidation test,,,,,,,,,,,,,,,,,,1200.0,,,,,,0.1667,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,text,"influence of hydrogen absorption is very small in the realistic ranges (less than $8 0 0 \ \mathrm { p p m }$ and 1,800 s)",,,,oxidation test,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,800.0,ppm,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,Fig. 18,"Weight gains of irradiated ZIRLO and unirradiated Zircaloy-4 cladding oxidized at 1,173, 1,323, and 1,473 K",ZIRLO,irradiated,,oxidation test,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk23,Fig. 18,"Weight gains of irradiated ZIRLO and unirradiated Zircaloy-4 cladding oxidized at 1,173, 1,323, and 1,473 K",ZIRLO,irradiated,,oxidation test,,,,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk24,text,"ductility of the alloys is high, so that strains of 50% or more are possible in principle",zirconium alloys,,,ballooning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk24,text,rupture temperature and circumferential stress at rupture tend to decrease as the hydrogen concentration increases,,hydrided,,rupture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decrease,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk24,text,"an increase in hydrogen concentration reduces the elastic modulus, yield stress, and tensile strength of α zirconium",α zirconium,hydrided,,mechanical,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,reduces,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk25,Fig. 25,Fig. 25 shows a fracture map obtained by the integral thermal shock tests with unirradiated PWR (Zircaloy-4) cladding [41].,Zircaloy-4,unirradiated,integral thermal shock test,integral thermal shock test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,%,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk25,Text,fine δ-zirconium hydrides smaller than 1 μm were observed on grain boundaries,,oxidized and hydrided,transmission electron microscope examination,microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,μm
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk25,Text,The integral thermal shock tests were conducted with the use of seven PWR and two BWR fuel-cladding specimens irradiated to a local burnup of 66 to 76 MWd/kg,"MDA, NDA, ZIRLO, M5, Zircaloy-2/LK3",irradiated,integral thermal shock test,integral thermal shock test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0–76.0,GWd/t,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk26,text,all the examined fuel-cladding segments did not facture in the integral tests,,fuel-cladding segments,integral tests,integral thermal shock test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk26,text,fracture resistance of the unirradiated Zircaloy cladding that experienced simulated LOCA conditions was estimated using four-point bend tests,Zircaloy,unirradiated cladding,simulated LOCA conditions,four-point bend test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk26,text,maximum bending moment generated before break is sufficiently high in specimens oxidized to $1 5 \ \%$ ECR,Zircaloy,oxidized cladding,oxidation,four-point bend test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,wt%,10000.0,cycles
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk27,[1],Investigation of Hydride Rim Effect on Failure of Zircaloy-4 Cladding with Tube Burst Test,Zircaloy-4,cladding,,tube burst test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk27,[26],Oxidation Reaction Kinetics of Zircaloy-4 in an Unlimited Steam Environment,Zircaloy-4,,,oxidation test,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk27,[28],Oxidation of Zircaloy-4 under High Temperature Steam Atmosphere and Its Effect on Ductility of Cladding,Zircaloy-4,cladding,oxidized,oxidation test,,,,,,,,,,,,,,,,,,,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk27,[29],High-Temperature Oxidation Kinetics of Zircaloy-4 in Oxygen/Argon Mixture,Zircaloy-4,,,oxidation test,,,,,,,,,,,,,,,,,,,oxygen/argon mixture,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk27,[30],The Oxidation Behavior of Zircaloy-4 in Steam Between 600 and 1600°C,Zircaloy-4,,,oxidation test,,,,,,,,,,,,,,,,,,600.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk28,p. 415,"Portier, L., Bredel, T. Brachet, J.-C., Malliot, V., Mardon, J.-P., and Lesbros, A. ""Influence of Long Service Exposures on the Thermal-Mechanical Behavior of Zircaloy-4 and M5 Alloys in LOCA Conditions,"" J. ASTM Int., Vol. 2, No. 2, 2005",M5,long service exposed,service exposure,thermal-mechanical test,,,,,,,,,,,,,,,,,,,,,,,,,LOCA conditions,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk28,p. 415,"Brachet, J.-C., Vandenberghe-Maillot, V. Portier, L, Gilbon, D., Lesbros, A., Waeckel, N., and Mardon, J.-P., ""Hydrogen Content, Preoxidation and Cooling Scenario Influences on PostQuench Mechanical Properties of Zy-4 and M5 Alloys in LOCA Conditions",Zy-4,post-quench,quenching,mechanical test,,,,,,,,,,,,,,,,,,,,,,,,,LOCA conditions,,,,,,,,,,,,,,,,,,
